"time","intensity"
0.000005,3
0.002718,1
0.005089,0
0.007586,0
0.010082,0
0.012583,0
0.015083,1
0.017583,3
0.020082,1
0.022581,0
0.025084,0
0.027584,0
0.030082,0
0.032584,2
0.035086,3
0.037588,0
0.040085,0
0.042587,0
0.045086,0
0.047586,0
0.050086,3
0.052593,2
0.055087,0
0.057586,0
0.060086,0
0.062586,0
0.065087,1
0.067586,3
0.070086,1
0.072587,0
0.075087,0
0.077585,0
0.080174,0
0.082590,3
0.085086,3
0.087588,0
0.090088,0
0.092589,0
0.095087,0
0.097588,0
0.100086,3
0.102596,2
0.105087,0
0.107589,0
0.110088,0
0.112589,0
0.115088,1
0.117588,3
0.120086,1
0.122587,0
0.125087,0
0.127587,0
0.130089,0
0.132589,3
0.135086,3
0.137588,0
0.140088,0
0.142591,0
0.145088,0
0.147588,0
0.150087,3
0.152589,2
0.155087,0
0.157587,0
0.160088,0
0.162589,0
0.165089,1
0.167588,3
0.170088,1
0.172596,0
0.175088,0
0.177588,0
0.180088,0
0.182590,2
0.185089,3
0.187589,0
0.190088,0
0.192590,0
0.195090,0
0.197589,0
0.200090,3
0.202590,2
0.205089,0
0.207590,0
0.210090,0
0.212598,0
0.215092,1
0.217590,3
0.220090,1
0.222592,0
0.225091,0
0.227591,0
0.230089,0
0.232589,2
0.235092,3
0.237591,0
0.240089,0
0.242596,0
0.245090,0
0.247590,0
0.250090,3
0.252593,2
0.255091,0
0.257590,0
0.260090,0
0.262591,0
0.265093,1
0.267591,3
0.270091,1
0.272592,0
0.275091,0
0.277591,0
0.280092,0
0.282592,2
0.285091,3
0.287592,0
0.290091,0
0.292591,0
0.295091,0
0.297591,0
0.300091,3
0.302592,2
0.305091,0
0.307591,0
0.310092,0
0.312594,0
0.315091,1
0.317591,3
0.320092,1
0.322592,0
0.325092,0
0.327591,0
0.330093,0
0.332594,2
0.335092,3
0.337593,0
0.340092,0
0.342593,0
0.345092,0
0.347591,0
0.350092,3
0.352593,2
0.355093,0
0.357592,0
0.360092,0
0.362594,0
0.365093,1
0.367593,3
