"time","intensity"
0.000007,0
0.000535,0
0.000779,0
0.000993,0
0.001212,0
0.001420,0
0.001614,0
0.001806,0
0.001991,0
0.002188,0
0.002375,0
0.002603,0
0.002826,0
0.003049,0
0.003283,0
0.003499,0
0.003716,0
0.003941,0
0.004154,0
0.004373,0
0.004612,0
0.004837,0
0.005061,0
0.005286,0
0.005509,0
0.005733,0
0.005961,0
0.006187,0
0.006408,0
0.006630,0
0.006854,0
0.007095,0
0.007334,0
0.007557,0
0.007780,0
0.008003,0
0.008232,0
0.008471,0
0.008702,0
0.008925,0
0.009229,0
0.009467,1
0.009692,1
0.009914,2
0.010139,2
0.010362,2
0.010584,3
0.010812,3
0.011035,3
0.011255,3
0.011473,3
0.011698,3
0.011921,3
0.012147,3
0.012380,3
0.012601,3
0.012822,3
0.013043,3
0.013265,3
0.013493,3
0.013713,2
0.013930,2
0.014148,2
0.014364,2
0.014582,1
0.014801,1
0.015020,1
0.015239,0
0.015456,0
0.015673,0
0.015892,0
0.016112,0
0.016332,0
0.016556,0
0.016776,0
0.016994,0
0.017213,0
0.017433,0
0.017649,0
0.017866,0
0.018082,0
0.018318,0
0.018543,0
0.018767,0
0.018989,0
0.019283,0
0.019514,0
0.019741,0
0.019965,0
0.020197,0
0.020421,0
0.020643,0
0.020862,0
0.021087,0
0.021309,0
0.021528,0
0.021747,0
0.021966,0
0.022182,0
0.022402,0
0.022619,0
0.022836,0
0.023055,0
0.023273,0
0.023492,0
0.023711,0
0.023929,0
0.024153,0
0.024374,0
0.024595,0
0.024815,0
0.025036,0
0.025254,0
0.025475,0
0.025694,0
0.025914,0
0.026130,1
0.026353,1
0.026573,2
0.026793,2
0.027013,2
0.027234,3
0.027453,3
0.027674,3
0.027890,3
0.028117,3
0.028333,3
0.028557,3
0.028776,3
0.028997,3
0.029277,3
0.029506,3
0.029732,3
0.029953,3
0.030176,3
0.030397,2
0.030618,2
0.030840,2
0.031057,2
0.031278,1
0.031497,1
0.031718,1
0.031936,0
0.032158,0
0.032378,0
0.032598,0
0.032817,0
0.033038,0
0.033257,0
0.033482,0
0.033698,0
0.033920,0
0.034136,0
0.034354,0
0.034569,0
0.034789,0
0.035007,0
0.035227,0
0.035447,0
0.035666,0
0.035883,0
0.036111,0
0.036323,0
0.036543,0
0.036759,0
0.036980,0
0.037200,0
0.037421,0
0.037641,0
0.037862,0
0.038081,0
0.038301,0
0.038520,0
0.038739,0
0.038981,0
0.039226,0
0.039465,0
0.039699,0
0.039925,0
0.040150,0
0.040373,0
0.040601,0
0.040829,0
0.041054,0
0.041286,0
0.041489,0
0.041681,0
0.041868,0
0.042056,0
0.042244,0
0.042434,0
0.042633,1
0.042822,1
0.043009,1
0.043195,1
0.043382,2
0.043570,2
0.043760,2
0.043945,3
0.044133,3
0.044322,3
0.044507,3
0.044710,3
0.044899,3
0.045093,3
0.045286,3
0.045475,3
0.045661,3
0.045845,3
0.046034,3
0.046222,3
0.046407,3
0.046594,3
0.046782,3
0.046969,2
0.047156,2
0.047344,2
0.047530,2
0.047717,1
0.047906,1
0.048093,1
0.048278,1
0.048464,0
0.048654,0
0.048840,0
0.049071,0
0.049270,0
0.049479,0
0.049685,0
0.049873,0
0.050060,0
0.050245,0
0.050431,0
0.050627,0
0.050815,0
0.051004,0
0.051198,0
0.051386,0
0.051572,0
0.051762,0
0.051951,0
0.052146,0
0.052332,0
0.052520,0
0.052703,0
0.052889,0
0.053080,0
0.053268,0
0.053456,0
0.053644,0
0.053842,0
0.054028,0
0.054215,0
0.054400,0
0.054596,0
0.054787,0
0.054976,0
0.055160,0
0.055349,0
0.055536,0
0.055720,0
0.055907,0
0.056093,0
0.056279,0
0.056464,0
0.056651,0
0.056842,0
0.057029,0
0.057213,0
0.057398,0
0.057589,0
0.057774,0
0.057963,0
0.058151,0
0.058342,0
0.058529,0
0.058714,0
