"time","intensity"
0.000008,0
0.000537,0
0.000785,1
0.001002,1
0.001210,1
0.001413,2
0.001604,2
0.001795,2
0.001983,2
0.002179,2
0.002362,3
0.002544,3
0.002729,3
0.002915,3
0.003100,3
0.003293,3
0.003477,3
0.003670,3
0.003857,3
0.004047,3
0.004236,3
0.004423,3
0.004606,2
0.004787,2
0.004969,2
0.005151,2
0.005343,2
0.005523,2
0.005704,1
0.005883,1
0.006064,1
0.006246,1
0.006426,0
0.006607,0
0.006790,0
0.006974,0
0.007157,0
0.007339,0
0.007520,0
0.007704,0
0.007888,0
0.008073,0
0.008362,0
0.008554,0
0.008740,0
0.008923,0
0.009104,0
0.009294,0
0.009477,0
0.009660,0
0.009846,0
0.010026,0
0.010210,0
0.010394,0
0.010589,0
0.010786,0
0.010979,0
0.011159,0
0.011339,0
0.011532,0
0.011715,0
0.011896,0
0.012079,0
0.012261,0
0.012444,0
0.012646,0
0.012837,0
0.013021,0
0.013201,0
0.013383,0
0.013563,0
0.013746,0
0.013929,0
0.014120,0
0.014302,0
0.014482,0
0.014675,0
0.014855,0
0.015038,0
0.015221,0
0.015400,0
0.015581,0
0.015764,0
0.015947,0
0.016135,0
0.016319,0
0.016501,0
0.016680,0
0.016867,0
0.017055,0
0.017239,0
0.017421,1
0.017606,1
0.017785,1
0.017966,1
0.018220,2
0.018416,2
0.018604,2
0.018787,2
0.018966,3
0.019151,3
0.019334,3
0.019525,3
0.019708,3
0.019890,3
0.020080,3
0.020263,3
0.020447,3
0.020631,3
0.020814,3
0.020994,3
0.021184,3
0.021378,2
0.021559,2
0.021739,2
0.021922,2
0.022106,2
0.022298,1
0.022478,1
0.022659,1
0.022846,1
0.023025,0
0.023214,0
0.023400,0
0.023582,0
0.023765,0
0.023943,0
0.024129,0
0.024325,0
0.024509,0
0.024695,0
0.024881,0
0.025061,0
0.025245,0
0.025423,0
0.025602,0
0.025782,0
0.025962,0
0.026148,0
0.026341,0
0.026523,0
0.026703,0
0.026894,0
0.027076,0
0.027255,0
0.027436,0
0.027630,0
0.027810,0
0.027990,0
0.028247,0
0.028454,0
0.028644,0
0.028832,0
0.029020,0
0.029216,0
0.029415,0
0.029599,0
0.029779,0
0.029961,0
0.030143,0
0.030338,0
0.030518,0
0.030697,0
0.030880,0
0.031061,0
0.031246,0
0.031428,0
0.031610,0
0.031798,0
0.031979,0
0.032157,0
0.032339,0
0.032522,0
0.032703,0
0.032899,0
0.033086,0
0.033269,0
0.033460,0
0.033651,0
0.033836,0
0.034015,0
0.034197,1
0.034378,1
0.034559,1
0.034749,2
0.034931,2
0.035112,2
0.035293,2
0.035474,2
0.035653,3
0.035834,3
0.036016,3
0.036206,3
0.036387,3
0.036569,3
0.036747,3
0.036929,3
0.037107,3
0.037288,3
0.037474,3
0.037655,3
0.037837,3
0.038022,2
0.038240,2
0.038435,2
0.038621,2
0.038808,2
0.038998,1
0.039184,1
0.039364,1
0.039544,1
0.039727,0
0.039907,0
0.040089,0
0.040273,0
0.040456,0
0.040641,0
0.040821,0
0.041001,0
0.041183,0
0.041365,0
0.041553,0
0.041733,0
0.041913,0
0.042098,0
0.042281,0
0.042463,0
0.042641,0
0.042823,0
0.043012,0
0.043192,0
0.043371,0
0.043552,0
0.043729,0
0.043911,0
0.044091,0
0.044273,0
0.044456,0
0.044636,0
0.044818,0
0.045011,0
0.045192,0
0.045373,0
0.045557,0
0.045738,0
0.045919,0
0.046098,0
0.046282,0
0.046464,0
0.046644,0
0.046823,0
0.047002,0
0.047180,0
0.047363,0
0.047541,0
0.047723,0
0.047917,0
0.048170,0
0.048371,0
0.048567,0
0.048755,0
0.048946,0
0.049134,0
0.049322,0
0.049523,0
0.049710,0
0.049897,0
0.050082,0
0.050271,0
0.050456,0
0.050645,0
0.050832,1
0.051016,1
0.051207,1
0.051393,2
0.051578,2
0.051765,2
0.051950,2
0.052135,3
0.052319,3
0.052505,3
0.052696,3
0.052895,3
0.053080,3
0.053266,3
0.053452,3
0.053635,3
0.053827,3
0.054028,3
0.054215,3
0.054400,3
0.054583,3
0.054768,2
0.054955,2
0.055141,2
0.055325,2
0.055518,2
0.055702,1
0.055886,1
0.056072,1
0.056258,1
0.056453,0
0.056656,0
0.056843,0
0.057027,0
0.057214,0
0.057397,0
0.057585,0
0.057769,0
0.057951,0
0.058198,0
0.058409,0
0.058614,0
0.058802,0
0.059000,0
0.059189,0
0.059378,0
0.059568,0
0.059754,0
0.059939,0
0.060125,0
0.060313,0
0.060502,0
0.060689,0
0.060874,0
0.061058,0
0.061251,0
0.061444,0
0.061630,0
0.061814,0
0.062004,0
0.062190,0
0.062383,0
0.062571,0
0.062776,0
0.062972,0
0.063158,0
0.063356,0
0.063545,0
0.063732,0
0.063919,0
0.064110,0
0.064295,0
0.064482,0
0.064679,0
0.064862,0
0.065046,0
0.065240,0
0.065427,0
0.065619,0
0.065804,0
0.065990,0
0.066178,0
0.066364,0
0.066548,0
0.066736,0
0.066922,0
0.067108,0
0.067292,0
0.067481,1
0.067671,1
0.067860,1
0.068046,1
0.068239,2
0.068434,2
0.068636,2
0.068821,2
0.069011,3
0.069201,3
0.069386,3
0.069572,3
0.069760,3
0.069945,3
0.070133,3
0.070324,3
0.070507,3
0.070701,3
0.070895,3
0.071098,3
0.071294,3
0.071478,2
0.071664,2
0.071860,2
0.072058,2
0.072244,1
0.072429,1
0.072624,1
0.072811,1
0.072998,0
0.073183,0
0.073384,0
0.073570,0
0.073758,0
0.073944,0
0.074129,0
0.074315,0
0.074513,0
0.074699,0
0.074886,0
0.075076,0
0.075260,0
0.075441,0
0.075627,0
0.075823,0
0.076006,0
0.076190,0
0.076379,0
0.076566,0
0.076751,0
0.076948,0
0.077134,0
0.077321,0
0.077522,0
0.077709,0
0.077893,0
0.078124,0
0.078333,0
0.078542,0
0.078742,0
0.078931,0
0.079128,0
0.079312,0
0.079503,0
0.079689,0
0.079878,0
0.080063,0
0.080252,0
0.080435,0
0.080621,0
0.080809,0
0.080996,0
0.081181,0
0.081369,0
0.081555,0
0.081741,0
0.081925,0
0.082110,0
0.082296,0
0.082488,0
0.082685,0
0.082869,0
0.083052,0
0.083238,0
0.083422,0
0.083611,0
0.083799,0
0.083986,0
0.084171,1
0.084355,1
0.084539,1
0.084724,1
0.084916,2
0.085102,2
0.085290,2
0.085476,2
0.085660,3
0.085858,3
0.086054,3
0.086239,3
0.086424,3
0.086607,3
0.086802,3
0.086987,3
0.087220,3
0.087417,3
0.087607,3
0.087799,3
0.087987,2
0.088193,2
0.088385,2
0.088573,2
0.088763,2
0.088951,1
0.089136,1
0.089326,1
0.089509,1
0.089692,0
0.089878,0
0.090074,0
0.090268,0
0.090463,0
0.090647,0
0.090834,0
0.091019,0
0.091214,0
0.091399,0
0.091597,0
0.091783,0
0.091970,0
0.092155,0
0.092340,0
0.092525,0
0.092712,0
0.092897,0
0.093081,0
0.093264,0
0.093450,0
0.093638,0
0.093823,0
0.094010,0
0.094195,0
0.094381,0
0.094565,0
0.094751,0
0.094935,0
0.095120,0
0.095305,0
0.095492,0
0.095677,0
0.095870,0
0.096064,0
0.096251,0
0.096437,0
0.096627,0
0.096813,0
0.096999,0
0.097198,0
0.097381,0
0.097567,0
0.097752,0
0.097937,0
0.098166,0
0.098363,0
0.098556,0
0.098746,0
0.098933,0
0.099131,0
0.099350,0
0.099545,0
0.099735,0
0.099924,0
0.100109,0
0.100294,0
0.100494,0
0.100693,0
0.100892,1
0.101079,1
0.101268,1
0.101451,2
0.101637,2
0.101819,2
0.102005,2
0.102197,3
0.102381,3
0.102569,3
0.102755,3
0.102943,3
0.103128,3
0.103326,3
0.103519,3
0.103704,3
0.103890,3
0.104073,3
0.104265,3
0.104453,3
0.104638,2
0.104824,2
0.105011,2
0.105197,2
0.105395,2
0.105579,1
0.105763,1
0.105954,1
0.106147,1
0.106335,0
0.106518,0
0.106705,0
0.106890,0
0.107077,0
0.107262,0
0.107448,0
0.107632,0
0.107822,0
0.108013,0
0.108233,0
0.108424,0
0.108616,0
0.108812,0
0.108999,0
0.109185,0
0.109370,0
0.109559,0
0.109746,0
0.109936,0
0.110126,0
0.110309,0
0.110507,0
0.110692,0
0.110879,0
0.111071,0
0.111255,0
0.111450,0
0.111635,0
