"time","intensity"
0.000007,0
0.000547,0
0.000797,0
0.001013,0
0.001225,0
0.001430,0
0.001627,0
0.001816,0
0.002005,0
0.002201,0
0.002385,0
0.002572,0
0.002771,0
0.002951,1
0.003138,1
0.003323,1
0.003507,1
0.003710,2
0.003896,2
0.004076,2
0.004256,3
0.004531,3
0.004722,3
0.004903,3
0.005083,3
0.005267,3
0.005466,3
0.005652,3
0.005843,3
0.006026,3
0.006207,3
0.006390,3
0.006575,3
0.006772,2
0.006953,2
0.007133,2
0.007317,2
0.007501,2
0.007684,2
0.007880,1
0.008060,1
0.008240,1
0.008423,1
0.008604,0
0.008786,0
0.008966,0
0.009146,0
0.009336,0
0.009524,0
0.009707,0
0.009888,0
0.010066,0
0.010247,0
0.010438,0
0.010623,0
0.010803,0
0.010984,0
0.011166,0
0.011344,0
0.011543,0
0.011724,0
0.011905,0
0.012085,0
0.012268,0
0.012446,0
0.012631,0
0.012810,0
0.012991,0
0.013174,0
0.013355,0
0.013538,0
0.013718,0
0.013898,0
0.014091,0
0.014339,0
0.014538,0
0.014732,0
0.014917,0
0.015103,0
0.015284,0
0.015465,0
0.015649,0
0.015833,0
0.016015,0
0.016200,0
0.016379,0
0.016562,0
0.016744,0
0.016923,0
0.017108,0
0.017290,0
0.017472,0
0.017651,0
0.017833,0
0.018018,0
0.018200,0
0.018388,0
0.018570,0
0.018751,0
0.018940,0
0.019128,0
0.019308,0
0.019501,0
0.019683,1
0.019862,1
0.020046,1
0.020227,1
0.020420,2
0.020602,2
0.020792,2
0.020974,3
0.021156,3
0.021341,3
0.021521,3
0.021702,3
0.021883,3
0.022065,3
0.022244,3
0.022428,3
0.022621,3
0.022801,3
0.022982,3
0.023172,3
0.023367,3
0.023549,2
0.023730,2
0.023916,2
0.024102,2
0.024335,2
0.024535,1
0.024731,1
0.024922,1
0.025113,1
0.025299,0
0.025482,0
0.025672,0
0.025854,0
0.026037,0
0.026224,0
0.026410,0
0.026593,0
0.026779,0
0.026962,0
0.027144,0
0.027324,0
0.027506,0
0.027698,0
0.027881,0
0.028065,0
0.028260,0
0.028441,0
0.028630,0
0.028811,0
0.029002,0
0.029190,0
0.029379,0
0.029558,0
0.029741,0
0.029933,0
0.030113,0
0.030293,0
0.030472,0
0.030663,0
0.030842,0
0.031023,0
0.031205,0
0.031386,0
0.031576,0
0.031758,0
0.031941,0
0.032126,0
0.032323,0
0.032504,0
0.032685,0
0.032892,0
0.033080,0
0.033264,0
0.033448,0
0.033627,0
0.033812,0
0.034002,0
0.034183,0
0.034436,0
0.034645,0
0.034849,0
0.035044,0
0.035237,0
0.035426,0
0.035614,0
0.035800,0
0.035988,0
0.036177,0
0.036362,1
0.036555,1
0.036741,1
0.036925,2
0.037114,2
0.037301,2
0.037486,2
0.037671,2
0.037859,3
0.038054,3
0.038268,3
0.038457,3
0.038647,3
0.038834,3
0.039021,3
0.039212,3
0.039401,3
0.039589,3
0.039774,3
0.039971,3
0.040158,3
0.040343,2
0.040530,2
0.040717,2
0.040903,2
0.041099,1
0.041287,1
0.041471,1
0.041667,1
0.041854,0
0.042039,0
0.042229,0
0.042415,0
0.042602,0
0.042789,0
0.042975,0
0.043163,0
0.043352,0
0.043539,0
0.043725,0
0.043925,0
0.044122,0
0.044364,0
0.044566,0
0.044769,0
0.044964,0
0.045155,0
0.045353,0
0.045536,0
0.045726,0
0.045913,0
0.046098,0
0.046286,0
0.046471,0
0.046654,0
0.046840,0
0.047024,0
0.047217,0
0.047405,0
0.047593,0
0.047781,0
0.047977,0
0.048178,0
0.048362,0
0.048547,0
0.048732,0
0.048918,0
0.049103,0
0.049287,0
0.049480,0
0.049664,0
0.049850,0
0.050041,0
0.050238,0
0.050422,0
0.050614,0
0.050802,0
0.050988,0
0.051178,0
0.051367,0
0.051554,0
0.051752,0
0.051940,0
0.052127,0
0.052315,0
0.052500,0
0.052691,0
0.052878,0
0.053064,1
0.053260,1
0.053445,1
0.053633,2
0.053821,2
0.054007,2
0.054196,2
0.054412,3
0.054602,3
0.054787,3
0.054978,3
0.055166,3
0.055366,3
0.055553,3
0.055738,3
0.055930,3
0.056114,3
0.056301,3
0.056488,3
0.056674,3
0.056860,2
0.057046,2
0.057234,2
0.057419,2
0.057606,2
0.057801,1
0.057990,1
0.058179,1
0.058374,1
0.058558,0
0.058745,0
0.058931,0
0.059115,0
0.059300,0
0.059488,0
0.059674,0
0.059871,0
0.060056,0
0.060242,0
0.060430,0
0.060614,0
0.060804,0
0.060992,0
0.061176,0
0.061374,0
0.061578,0
0.061765,0
0.061949,0
0.062135,0
0.062329,0
0.062514,0
0.062706,0
0.062889,0
0.063075,0
0.063260,0
0.063462,0
0.063649,0
0.063833,0
0.064018,0
0.064203,0
0.064414,0
0.064608,0
0.064797,0
0.064986,0
0.065173,0
0.065360,0
0.065547,0
0.065734,0
0.065919,0
0.066107,0
0.066295,0
0.066490,0
0.066678,0
0.066862,0
0.067049,0
0.067244,0
0.067432,0
0.067629,0
0.067815,0
0.067999,0
0.068185,0
0.068379,0
0.068566,0
0.068754,0
0.068938,0
0.069124,0
0.069309,0
0.069503,0
0.069689,1
0.069874,1
0.070069,1
0.070255,1
0.070441,2
0.070628,2
0.070814,2
0.071005,2
0.071193,3
0.071376,3
0.071564,3
0.071750,3
0.071934,3
0.072123,3
0.072306,3
0.072492,3
0.072679,3
0.072870,3
0.073059,3
0.073246,3
0.073433,3
0.073619,2
0.073804,2
0.073987,2
0.074174,2
0.074407,2
0.074602,1
0.074793,1
0.074994,1
0.075182,1
0.075376,0
0.075561,0
0.075745,0
0.075932,0
0.076118,0
0.076303,0
0.076488,0
0.076685,0
0.076908,0
0.077105,0
0.077294,0
0.077498,0
0.077689,0
0.077882,0
0.078076,0
0.078263,0
0.078449,0
0.078633,0
0.078819,0
0.079010,0
0.079195,0
0.079380,0
0.079565,0
0.079752,0
0.079936,0
0.080121,0
0.080309,0
0.080499,0
0.080686,0
0.080871,0
0.081058,0
0.081244,0
0.081431,0
0.081616,0
0.081800,0
0.081987,0
0.082187,0
0.082377,0
0.082564,0
0.082764,0
0.082951,0
0.083138,0
0.083327,0
0.083519,0
0.083706,0
0.083900,0
0.084087,0
0.084323,0
0.084529,0
0.084725,0
0.084915,0
0.085119,0
0.085309,0
0.085498,0
0.085686,0
0.085873,0
0.086060,0
0.086255,0
0.086442,1
0.086626,1
0.086817,1
0.087004,2
0.087193,2
0.087378,2
0.087566,2
0.087775,3
0.087964,3
0.088154,3
0.088338,3
0.088522,3
0.088707,3
0.088903,3
0.089090,3
0.089278,3
0.089462,3
0.089647,3
0.089842,3
0.090027,3
0.090214,2
0.090412,2
0.090601,2
0.090788,2
0.090972,2
0.091163,1
0.091350,1
0.091533,1
0.091718,1
0.091905,0
0.092092,0
0.092278,0
0.092469,0
0.092653,0
0.092838,0
0.093024,0
0.093211,0
0.093396,0
0.093581,0
0.093768,0
0.093954,0
0.094140,0
0.094375,0
0.094573,0
0.094765,0
0.094953,0
0.095145,0
0.095330,0
0.095519,0
0.095710,0
0.095896,0
0.096097,0
0.096281,0
0.096467,0
0.096677,0
0.096864,0
0.097049,0
0.097247,0
0.097441,0
0.097630,0
0.097816,0
0.098001,0
0.098186,0
0.098373,0
0.098560,0
0.098754,0
0.098940,0
0.099131,0
0.099316,0
0.099511,0
0.099698,0
0.099911,0
0.100114,0
0.100304,0
0.100513,0
0.100698,0
0.100883,0
0.101076,0
0.101262,0
0.101446,0
0.101630,0
0.101817,0
0.102003,0
0.102189,0
0.102379,0
0.102564,0
0.102748,0
0.102934,0
0.103120,1
0.103305,1
0.103491,1
0.103677,2
0.103863,2
0.104052,2
0.104237,2
0.104436,3
0.104629,3
0.104819,3
0.105006,3
0.105192,3
0.105379,3
0.105569,3
0.105759,3
0.105949,3
0.106138,3
0.106323,3
0.106509,3
0.106694,3
0.106880,3
0.107067,2
0.107265,2
0.107463,2
0.107648,2
0.107836,2
0.108023,1
0.108213,1
0.108404,1
0.108599,0
0.108785,0
0.108984,0
0.109185,0
0.109369,0
0.109554,0
0.109751,0
0.109936,0
0.110122,0
0.110311,0
0.110497,0
0.110684,0
0.110873,0
0.111059,0
0.111244,0
0.111435,0
0.111622,0
0.111807,0
0.111990,0
0.112175,0
0.112359,0
0.112545,0
0.112729,0
0.112918,0
0.113101,0
0.113287,0
0.113499,0
0.113691,0
0.113881,0
0.114074,0
0.114263,0
0.114509,0
0.114705,0
0.114895,0
0.115092,0
0.115280,0
0.115467,0
0.115652,0
0.115838,0
0.116027,0
0.116215,0
0.116403,0
0.116591,0
0.116777,0
0.116974,0
0.117166,0
0.117355,0
0.117546,0
0.117732,0
0.117918,0
0.118104,0
0.118288,0
0.118487,0
0.118686,0
0.118873,0
0.119060,0
0.119245,0
0.119431,0
0.119623,0
0.119809,1
0.119994,1
0.120183,1
0.120368,2
0.120553,2
0.120740,2
0.120926,2
0.121117,2
0.121303,3
0.121488,3
0.121671,3
0.121860,3
0.122044,3
0.122233,3
0.122418,3
0.122605,3
0.122791,3
0.122992,3
0.123179,3
0.123364,3
0.123550,3
0.123738,2
0.123924,2
0.124108,2
0.124334,2
0.124574,1
0.124774,1
0.124964,1
0.125157,1
0.125342,0
0.125528,0
0.125722,0
0.125907,0
0.126096,0
0.126290,0
0.126475,0
0.126660,0
0.126853,0
0.127038,0
0.127225,0
0.127413,0
0.127599,0
0.127785,0
0.127972,0
0.128156,0
0.128342,0
0.128527,0
0.128714,0
0.128907,0
0.129093,0
0.129282,0
0.129468,0
0.129652,0
0.129853,0
0.130042,0
0.130230,0
0.130433,0
0.130619,0
0.130809,0
0.130996,0
0.131181,0
0.131366,0
0.131554,0
0.131739,0
0.131924,0
0.132111,0
0.132295,0
0.132482,0
0.132671,0
0.132856,0
0.133043,0
0.133230,0
0.133416,0
0.133601,0
0.133787,0
0.133974,0
0.134156,0
0.134392,0
0.134592,0
0.134784,0
0.134997,0
0.135185,0
0.135377,0
0.135570,0
0.135758,0
0.135958,0
0.136146,0
0.136336,0
0.136525,1
0.136710,1
0.136898,1
0.137084,2
0.137271,2
0.137472,2
0.137657,2
0.137847,3
0.138034,3
0.138222,3
0.138409,3
0.138596,3
0.138783,3
0.138965,3
0.139148,3
0.139334,3
0.139520,3
0.139704,3
0.139889,3
0.140073,3
0.140255,3
0.140438,2
0.140622,2
0.140806,2
0.140996,2
0.141181,2
0.141364,1
0.141550,1
0.141735,1
0.141921,1
0.142105,0
0.142299,0
0.142486,0
0.142686,0
0.142870,0
0.143063,0
0.143248,0
0.143431,0
0.143620,0
0.143806,0
0.143992,0
0.144177,0
0.144411,0
0.144607,0
0.144799,0
0.144988,0
0.145172,0
0.145359,0
0.145545,0
0.145731,0
0.145916,0
0.146114,0
0.146302,0
0.146487,0
0.146687,0
0.146871,0
0.147058,0
0.147246,0
0.147431,0
0.147617,0
0.147812,0
0.147997,0
0.148181,0
0.148368,0
0.148553,0
0.148737,0
0.148920,0
0.149104,0
0.149290,0
0.149472,0
0.149655,0
0.149839,0
0.150024,0
0.150207,0
0.150393,0
0.150577,0
0.150762,0
0.150947,0
0.151132,0
0.151313,0
0.151499,0
0.151684,0
0.151866,0
0.152051,0
0.152235,0
0.152420,0
0.152604,0
0.152786,0
0.152970,0
0.153157,1
0.153345,1
0.153540,1
0.153724,2
0.153908,2
0.154094,2
0.154315,2
0.154523,3
0.154722,3
0.154911,3
0.155101,3
0.155287,3
0.155472,3
0.155659,3
0.155858,3
0.156045,3
0.156231,3
0.156417,3
0.156601,3
0.156790,3
0.156977,3
0.157162,2
0.157350,2
0.157535,2
0.157717,2
0.157900,2
0.158091,1
0.158278,1
0.158464,1
0.158647,0
0.158831,0
0.159017,0
0.159204,0
0.159387,0
0.159573,0
0.159758,0
0.159941,0
0.160128,0
0.160313,0
0.160498,0
0.160682,0
0.160865,0
0.161065,0
0.161247,0
0.161432,0
0.161621,0
0.161804,0
0.161990,0
0.162176,0
0.162359,0
0.162546,0
0.162730,0
0.162913,0
0.163097,0
0.163280,0
0.163463,0
0.163649,0
0.163834,0
0.164021,0
0.164203,0
0.164415,0
0.164618,0
0.164811,0
0.165003,0
0.165192,0
0.165380,0
0.165573,0
0.165759,0
0.165946,0
0.166131,0
0.166322,0
0.166509,0
0.166704,0
0.166892,0
0.167081,0
0.167268,0
0.167468,0
0.167655,0
0.167847,0
0.168036,0
0.168236,0
0.168424,0
0.168618,0
0.168805,0
0.168996,0
0.169182,0
0.169368,0
0.169553,0
0.169740,1
0.169928,1
0.170116,1
0.170301,1
0.170487,2
0.170673,2
0.170860,2
0.171046,2
0.171235,3
0.171423,3
0.171611,3
0.171799,3
0.171985,3
0.172173,3
0.172362,3
0.172551,3
0.172737,3
0.172923,3
0.173109,3
0.173295,3
0.173486,3
0.173672,3
0.173863,2
0.174050,2
0.174240,2
0.174443,2
0.174638,1
0.174845,1
0.175037,1
0.175230,1
0.175417,0
0.175609,0
0.175795,0
0.175990,0
0.176177,0
0.176365,0
0.176552,0
0.176742,0
0.176927,0
0.177113,0
0.177299,0
0.177490,0
0.177675,0
0.177863,0
0.178047,0
0.178232,0
0.178418,0
0.178605,0
0.178792,0
0.178983,0
0.179174,0
0.179362,0
0.179551,0
0.179757,0
0.179949,0
0.180139,0
0.180325,0
0.180516,0
0.180702,0
0.180889,0
0.181076,0
0.181271,0
0.181463,0
0.181653,0
0.181840,0
0.182026,0
0.182215,0
0.182404,0
0.182590,0
0.182786,0
0.182976,0
0.183166,0
0.183361,0
0.183550,0
0.183756,0
0.183947,0
0.184132,0
0.184366,0
0.184561,0
0.184750,0
0.184937,0
0.185128,0
0.185318,0
0.185503,0
0.185690,0
0.185878,0
0.186067,0
0.186256,0
0.186443,1
0.186630,1
0.186817,1
0.187004,1
0.187194,2
0.187381,2
0.187574,2
0.187762,2
0.187947,3
0.188133,3
0.188322,3
0.188507,3
0.188694,3
0.188883,3
0.189070,3
0.189257,3
0.189443,3
0.189632,3
0.189815,3
0.190002,3
0.190188,3
0.190374,2
0.190562,2
0.190748,2
0.190935,2
0.191121,2
0.191306,2
0.191492,1
0.191680,1
0.191869,1
0.192054,0
0.192242,0
0.192429,0
0.192616,0
0.192801,0
0.192988,0
0.193173,0
0.193361,0
0.193548,0
0.193734,0
0.193922,0
0.194109,0
0.194346,0
0.194542,0
0.194733,0
0.194922,0
0.195109,0
0.195296,0
0.195482,0
0.195672,0
0.195856,0
0.196044,0
0.196233,0
0.196418,0
0.196603,0
0.196789,0
0.196977,0
0.197165,0
0.197355,0
0.197542,0
0.197732,0
0.197920,0
0.198108,0
0.198294,0
0.198481,0
0.198670,0
0.198858,0
0.199043,0
0.199229,0
0.199417,0
0.199606,0
0.199791,0
0.199980,0
0.200170,0
0.200359,0
0.200545,0
0.200732,0
0.200917,0
0.201104,0
0.201288,0
0.201474,0
0.201662,0
0.201849,0
0.202038,0
0.202224,0
0.202410,0
0.202597,0
0.202787,0
0.202974,0
0.203162,1
0.203349,1
0.203537,1
0.203726,1
0.203913,2
0.204101,2
0.204327,2
0.204525,2
0.204712,3
0.204909,3
0.205100,3
0.205287,3
0.205478,3
0.205668,3
0.205856,3
0.206042,3
0.206230,3
0.206420,3
0.206606,3
0.206793,3
0.207002,3
0.207192,2
0.207380,2
0.207569,2
0.207757,2
0.207946,2
0.208133,1
0.208327,1
0.208517,1
0.208702,1
0.208891,0
0.209082,0
0.209269,0
0.209455,0
0.209642,0
0.209828,0
0.210016,0
0.210201,0
0.210387,0
0.210573,0
0.210761,0
0.210947,0
0.211135,0
0.211321,0
0.211514,0
0.211699,0
0.211887,0
0.212077,0
0.212263,0
0.212451,0
0.212639,0
0.212826,0
0.213018,0
0.213205,0
0.213390,0
0.213576,0
0.213768,0
0.213955,0
0.214146,0
0.214380,0
0.214579,0
0.214772,0
0.214959,0
0.215152,0
0.215344,0
0.215533,0
0.215720,0
0.215907,0
0.216097,0
0.216285,0
0.216476,0
0.216666,0
0.216855,0
0.217041,0
0.217228,0
0.217416,0
0.217601,0
0.217786,0
0.217974,0
0.218161,0
0.218349,0
0.218535,0
0.218724,0
0.218910,0
0.219104,0
0.219294,0
0.219478,0
0.219665,0
0.219850,1
0.220040,1
0.220226,1
0.220421,1
0.220606,2
0.220792,2
0.220979,2
0.221167,2
0.221357,3
0.221546,3
0.221734,3
0.221924,3
0.222111,3
0.222297,3
0.222481,3
0.222672,3
0.222858,3
0.223045,3
0.223233,3
0.223428,3
0.223614,3
0.223803,2
0.223990,2
0.224180,2
0.224377,2
0.224567,2
0.224761,1
0.224954,1
0.225141,1
0.225330,1
0.225522,0
0.225711,0
0.225900,0
0.226092,0
0.226283,0
0.226470,0
0.226655,0
0.226844,0
0.227034,0
0.227223,0
0.227411,0
0.227597,0
