"time","intensity"
0.000007,0
0.000646,0
0.001055,0
0.001408,0
0.001735,0
0.002038,1
0.002325,1
0.002623,1
0.002898,2
0.003190,2
0.003458,2
0.003734,3
0.004016,3
0.004301,3
0.004576,3
0.004857,3
0.005139,3
0.005414,3
0.005688,3
0.005970,2
0.006252,2
0.006528,2
0.006811,1
0.007089,1
0.007362,1
0.007635,0
0.007914,0
0.008294,0
0.008619,0
0.008916,0
0.009190,0
0.009459,0
0.009735,0
0.010009,0
0.010277,0
0.010556,0
0.010826,0
0.011105,0
0.011385,0
0.011670,0
0.011928,0
0.012145,0
0.012427,0
0.012680,0
0.012981,0
0.013246,0
0.013514,0
0.013800,0
0.014072,0
0.014348,0
0.014624,0
0.014906,0
0.015182,0
0.015455,0
0.015728,0
0.016011,0
0.016274,0
0.016570,0
0.016829,0
0.017114,0
0.017388,0
0.017660,0
0.017931,0
0.018323,0
0.018628,1
0.018909,1
0.019187,1
0.019457,2
0.019739,2
0.020016,2
0.020287,3
0.020558,3
0.020830,3
0.021114,3
0.021383,3
0.021657,3
0.021931,3
0.022210,3
0.022482,3
0.022762,2
0.023026,2
0.023308,2
0.023576,1
0.023848,1
0.024124,1
0.024387,0
0.024689,0
0.024951,0
0.025226,0
0.025501,0
0.025769,0
0.026048,0
0.026311,0
0.026591,0
0.026873,0
0.027142,0
0.027417,0
0.027686,0
0.027955,0
0.028318,0
0.028613,0
0.028885,0
0.029162,0
0.029445,0
0.029719,0
0.029994,0
0.030271,0
0.030545,0
0.030817,0
0.031088,0
0.031359,0
0.031633,0
0.031896,0
0.032163,0
0.032437,0
0.032724,0
0.033015,0
0.033298,0
0.033577,0
0.033859,0
0.034142,0
0.034419,0
0.034698,0
0.034976,0
0.035252,0
0.035527,1
0.035801,1
0.036073,2
0.036341,2
0.036618,2
0.036886,3
0.037149,3
0.037424,3
0.037691,3
0.037960,3
0.038558,3
0.038801,3
0.039107,3
0.039390,2
0.039665,2
0.039942,2
0.040216,1
0.040498,1
0.040791,1
0.041060,0
0.041340,0
0.041616,0
0.041895,0
0.042165,0
0.042457,0
0.042751,0
0.043101,0
0.043317,0
0.043610,0
0.043950,0
0.044235,0
0.044518,0
0.044795,0
0.045080,0
0.045354,0
0.045621,0
0.045896,0
0.046177,0
0.046445,0
0.046722,0
0.046995,0
0.047271,0
0.047544,0
0.047820,0
0.048088,0
0.048451,0
0.048743,0
0.049024,0
0.049303,0
0.049594,0
0.049872,0
0.050146,0
0.050425,0
0.050697,0
0.050971,0
0.051247,0
0.051520,0
0.051796,0
0.052074,1
0.052345,1
0.052618,1
0.052896,2
0.053164,2
0.053441,2
0.053711,3
0.053983,3
0.054261,3
0.054527,3
0.054801,3
0.055081,3
0.055351,3
0.055632,3
0.055900,3
0.056183,2
0.056451,2
0.056734,2
0.056999,1
0.057284,1
0.057564,1
0.057832,0
0.058159,0
0.058470,0
0.058789,0
0.059066,0
0.059344,0
0.059616,0
0.059898,0
0.060171,0
0.060444,0
0.060716,0
0.060989,0
0.061266,0
0.061532,0
0.061812,0
0.062079,0
0.062356,0
0.062641,0
0.062909,0
0.063185,0
0.063465,0
0.063739,0
0.064015,0
0.064282,0
0.064579,0
0.064846,0
0.065135,0
0.065401,0
0.065680,0
0.065951,0
0.066236,0
0.066501,0
0.066770,0
0.067056,0
0.067323,0
0.067600,0
0.067875,0
0.068193,0
0.068483,0
0.068765,1
0.069037,1
0.069308,1
0.069589,2
0.069859,2
0.070135,2
0.070402,3
0.070684,3
0.070953,3
0.071227,3
0.071500,3
0.071771,3
0.072047,3
0.072320,3
0.072605,2
0.072883,2
0.073155,2
0.073430,2
0.073705,1
