"time","intensity"
0.000008,0
0.000560,0
0.000827,0
0.001067,0
0.001287,0
0.001511,0
0.001725,0
0.001936,0
0.002142,0
0.002349,0
0.002568,0
0.002771,0
0.002972,0
0.003172,0
0.003371,0
0.003579,0
0.003778,0
0.003991,0
0.004189,1
0.004480,1
0.004699,1
0.004905,2
0.005109,2
0.005312,2
0.005521,2
0.005721,3
0.005927,3
0.006124,3
0.006325,3
0.006532,3
0.006727,3
0.006923,3
0.007114,3
0.007326,3
0.007519,3
0.007723,3
0.007933,2
0.008128,2
0.008324,2
0.008521,2
0.008713,2
0.008907,1
0.009101,1
0.009296,1
0.009493,1
0.009689,0
0.009879,0
0.010081,0
0.010275,0
0.010473,0
0.010667,0
0.010862,0
0.011053,0
0.011262,0
0.011455,0
0.011652,0
0.011845,0
0.012038,0
0.012230,0
0.012448,0
0.012640,0
0.012834,0
0.013030,0
0.013222,0
0.013415,0
0.013607,0
0.013799,0
0.013993,0
0.014186,0
0.014456,0
0.014664,0
0.014867,0
0.015065,0
0.015276,0
0.015471,0
0.015666,0
0.015872,0
0.016069,0
0.016269,0
0.016464,0
0.016660,0
0.016853,0
0.017046,0
0.017242,0
0.017442,0
0.017641,0
0.017840,0
0.018042,0
0.018236,0
0.018440,0
0.018636,0
0.018841,0
0.019036,0
0.019236,0
0.019429,0
0.019629,0
0.019822,0
0.020028,0
0.020221,0
0.020417,0
0.020621,0
0.020814,1
0.021015,1
0.021209,1
0.021402,1
0.021596,2
0.021790,2
0.021988,2
0.022187,2
0.022385,3
0.022580,3
0.022774,3
0.022969,3
0.023165,3
0.023358,3
0.023551,3
0.023746,3
0.023940,3
0.024132,3
0.024391,3
0.024600,3
0.024807,2
0.025009,2
0.025205,2
0.025401,2
0.025595,1
0.025794,1
0.025990,1
0.026187,1
0.026384,0
0.026577,0
0.026772,0
0.026964,0
0.027163,0
0.027357,0
0.027549,0
0.027744,0
0.027953,0
0.028147,0
0.028341,0
0.028536,0
0.028729,0
0.028925,0
0.029116,0
0.029317,0
0.029512,0
0.029706,0
0.029898,0
0.030092,0
0.030303,0
0.030502,0
0.030697,0
0.030894,0
0.031089,0
0.031283,0
0.031477,0
0.031671,0
0.031865,0
0.032062,0
0.032252,0
0.032452,0
0.032644,0
0.032840,0
0.033029,0
0.033225,0
0.033417,0
0.033617,0
0.033807,0
0.033998,0
0.034191,0
0.034451,0
0.034664,0
0.034873,0
0.035075,0
0.035295,0
0.035498,0
0.035704,0
0.035909,0
0.036108,0
0.036307,0
