"time","intensity"
0.000008,1
0.001267,2
0.002023,3
0.002783,3
0.003492,3
0.004185,2
0.004875,1
0.005565,1
0.006218,0
0.006832,0
0.007442,0
0.008044,0
0.008628,0
0.009240,0
0.009855,0
0.010461,0
0.011046,0
0.011287,0
0.011489,0
0.011687,0
0.011884,0
0.012077,0
0.012268,0
0.012456,0
0.012644,0
0.012834,0
0.013035,0
0.013223,0
0.013409,0
0.013597,0
0.013784,0
0.013969,0
0.014157,0
0.014347,0
0.014530,0
0.014718,0
0.014906,0
0.015095,0
0.015285,0
0.015472,0
0.015656,0
0.015843,0
0.016032,0
0.016219,0
0.016411,0
0.016596,0
0.016785,1
0.016990,1
0.017189,1
0.017376,2
0.017564,2
0.017751,2
0.017936,2
0.018120,3
0.018302,3
0.018489,3
0.018674,3
0.018862,3
0.019048,3
0.019244,3
0.019434,3
0.019627,3
0.019815,3
0.020002,3
0.020199,3
0.020392,3
0.020578,2
0.020761,2
0.021034,2
0.021243,2
0.021437,2
0.021632,1
0.021829,1
0.022025,1
0.022217,0
0.022411,0
0.022597,0
0.022788,0
0.022976,0
0.023162,0
0.023358,0
0.023539,0
0.023725,0
0.023914,0
0.024102,0
0.024287,0
0.024477,0
0.024662,0
0.024864,0
0.025066,0
0.025259,0
0.025443,0
0.025627,0
0.025816,0
0.026004,0
0.026187,0
0.026372,0
0.026560,0
0.026745,0
0.026929,0
0.027115,0
0.027319,0
0.027514,0
0.027707,0
0.027893,0
0.028075,0
0.028278,0
0.028466,0
0.028650,0
0.028836,0
0.029017,0
0.029213,0
0.029413,0
0.029599,0
0.029782,0
0.029976,0
0.030163,0
0.030349,0
0.030539,0
0.030728,0
0.030913,0
0.031167,0
0.031425,0
0.031618,0
0.031806,0
0.031995,0
0.032191,0
0.032382,0
0.032569,0
0.032762,0
0.032950,0
0.033144,0
0.033330,1
0.033516,1
0.033705,1
0.033897,1
0.034085,2
0.034275,2
0.034461,2
0.034651,2
0.034836,2
0.035023,3
0.035212,3
0.035400,3
0.035584,3
0.035773,3
0.035966,3
0.036156,3
0.036340,3
0.036525,3
0.036711,3
0.036894,3
0.037080,3
0.037267,2
0.037453,2
0.037647,2
0.037832,2
0.038020,2
0.038208,1
0.038405,1
0.038591,1
0.038772,1
0.038958,0
0.039144,0
0.039327,0
0.039516,0
0.039703,0
0.039888,0
0.040090,0
0.040281,0
0.040468,0
0.040652,0
0.040840,0
0.041108,0
0.041326,0
0.041522,0
0.041714,0
0.041909,0
0.042102,0
0.042292,0
0.042483,0
0.042669,0
0.042856,0
0.043037,0
0.043226,0
0.043410,0
0.043597,0
0.043782,0
0.043963,0
0.044157,0
0.044345,0
0.044529,0
0.044717,0
0.044905,0
0.045091,0
0.045282,0
0.045468,0
0.045661,0
0.045850,0
0.046033,0
0.046220,0
0.046423,0
0.046622,0
0.046810,0
0.046999,0
0.047191,0
0.047384,0
0.047573,0
0.047769,0
0.047955,0
0.048139,0
0.048326,0
0.048513,0
0.048700,0
0.048885,0
0.049069,0
0.049257,0
0.049448,0
0.049636,0
0.049829,0
0.050010,1
0.050213,1
0.050399,1
0.050588,2
0.050776,2
0.051032,2
0.051236,2
0.051431,3
0.051627,3
0.051830,3
0.052019,3
0.052210,3
0.052408,3
0.052601,3
0.052790,3
0.052980,3
0.053170,3
0.053367,3
0.053563,3
0.053754,3
0.053941,2
0.054142,2
0.054341,2
0.054539,2
0.054733,2
0.054925,1
0.055117,1
0.055306,1
0.055499,0
0.055690,0
0.055887,0
0.056080,0
0.056272,0
0.056462,0
0.056651,0
0.056845,0
0.057033,0
0.057226,0
0.057417,0
0.057608,0
0.057798,0
0.057989,0
0.058182,0
0.058374,0
0.058562,0
0.058759,0
0.058954,0
0.059143,0
0.059334,0
0.059525,0
0.059719,0
0.059907,0
0.060108,0
0.060298,0
0.060489,0
0.060678,0
0.060869,0
0.061080,0
0.061279,0
0.061474,0
0.061669,0
0.061868,0
0.062057,0
0.062251,0
0.062442,0
0.062633,0
0.062825,0
0.063015,0
0.063208,0
0.063410,0
0.063600,0
0.063787,0
0.063975,0
0.064176,0
0.064372,0
0.064564,0
0.064754,0
0.064960,0
0.065161,0
0.065351,0
0.065538,0
0.065731,0
0.065922,0
0.066111,0
0.066298,0
0.066498,0
0.066689,1
0.066880,1
0.067083,1
0.067283,2
0.067473,2
0.067663,2
0.067850,2
0.068049,2
0.068255,3
0.068445,3
0.068647,3
