"time","intensity","change"
0,24,24
1,136,112
2,271,135
3,277,6
4,792,515
5,807,15
6,761,-46
7,686,-75
8,610,-76
9,532,-78
10,475,-57
11,420,-55
12,394,-26
13,388,-6
14,374,-14
15,359,-15
16,352,-7
17,345,-7
18,352,7
19,356,4
20,360,4
21,371,11
22,379,8
23,387,8
24,398,11
25,470,72
26,482,12
27,484,2
28,489,5
29,491,2
30,493,2
31,494,1
32,496,2
33,499,3
34,501,2
35,504,3
36,505,1
37,506,1
38,506,0
39,506,0
40,507,1
41,506,-1
42,506,0
43,506,0
44,506,0
45,504,-2
46,504,0
47,504,0
48,503,-1
49,504,1
50,501,-3
51,427,-74
52,415,-12
53,402,-13
54,392,-10
55,383,-9
56,373,-10
57,367,-6
58,355,-12
59,350,-5
60,342,-8
61,332,-10
62,325,-7
63,316,-9
64,308,-8
65,305,-3
66,300,-5
67,289,-11
68,282,-7
69,273,-9
70,266,-7
71,262,-4
72,255,-7
73,249,-6
74,244,-5
75,240,-4
76,232,-8
77,238,6
78,233,-5
79,225,-8
80,219,-6
81,214,-5
82,208,-6
83,199,-9
84,191,-8
85,176,-15
86,167,-9
87,162,-5
88,155,-7
89,144,-11
90,136,-8
91,128,-8
92,126,-2
93,121,-5
94,117,-4
95,115,-2
96,106,-9
97,101,-5
98,91,-10
99,85,-6
100,84,-1
101,74,-10
102,70,-4
103,64,-6
104,57,-7
105,52,-5
106,48,-4
107,44,-4
108,33,-11
109,24,-9
110,21,-3
111,20,-1
112,20,0
113,19,-1
114,17,-2
115,12,-5
116,7,-5
117,7,0
118,5,-2
119,2,-3
120,5,3
121,2,-3
122,0,-2
